id,title,subject_codes,units,description
101747,Psychological and Educational Resilience Among Children and Youth,HUMBIO 149,5,"Theoretical, methodological, and empirical issues pertaining to the psychological and educational resilience of children and adolescents. Overview of the resilience framework, including current terminology and conceptual and measurement issues. Adaptive systems that enable some children to achieve successful adaptation despite high levels of adversity exposure. How resilience can be studied across multiple levels of analysis, ranging from cell to society. Individual, family, school, and community risk and protective factors that influence children&#039;s development and adaptation. Intervention programs designed to foster resilient adaptation in disadvantaged children&#039;s populations."
101996,Psychology and American Indian/Alaska Native Mental Health,PSYCH 272,5,"Western medicine&#039;s definition of health as the absence of sickness, disease, or pathology; Native American cultures&#039; definition of health as the beauty of physical, spiritual, emotional, and social things, and sickness as something out of balance. Topics include: historical trauma; spirituality and healing; cultural identity; values and acculturation; and individual, school, and community-based interventions. Prerequisite: experience working with American Indian communities."
103093,Introduction to Aeronautics and Astronautics,AA 100,3,"This class introduces the basics of aeronautics and astronautics through applied physics, hands-on activities, and real world examples. The principles of fluid flow, flight, and propulsion for aircraft will be illustrated, including the creation of lift and drag, aerodynamic performance including takeoff, climb, range, and landing. The principles of orbits, maneuvers, space environment, and propulsion for spacecraft will be illustrated. Students will be exposed to the history and challenges of aeronautics and astronautics."
103119,Topics in Aeroacoustics,AA 201B,3,"Acoustic equations for moving medium, simple sources, Kirchhoff formula, and multipole representation; radiation from moving sources; acoustic analogy approach to sound generation in compact flows; theories of Lighthill, Powell, and Mohring; acoustic radiation from moving surfaces; theories of Curl, Ffowcs Williams, and Hawkings; application of acoustic theories to the noise from propulsive jets, and airframe and rotor noise; computational methods for acoustics. Prerequisite: 201A or consent of instructor."
103131,Fundamentals of Compressible Flow,AA 210A,3,"Topics: development of the three-dimensional, unsteady, field equations for describing the motion of a viscous, compressible fluid (Euler and Navier-Stokes equations); entropy condition; jump equations for normal shock; linear acoustic wave; Riemann problem; unsteady one-dimensional flow; eigenvalues and characteristics; shock tube; area-averaged equations for one-dimensional steady flow; channel flow with heat addition and friction; flow in nozzles and inlets; steady supersonic flow in two-dimensions; oblique shock waves; Prandtl-Meyer expansion; small disturbance theory; potential flow; lift and drag of thin airfoils. Prerequisites: undergraduate background in fluid mechanics and thermodynamics."
103141,Numerical Methods for Compressible Flows,AA 214,3,"For M.S.-level graduate students. Covers the hierarchy of mathematical models for compressible flows. Introduction to finite difference, finite volume, and finite element methods for their computation. Ideal potential flow; transonic potential flow; Euler equations; Navier-Stokes equations; representative model problems; shocks, expansions, and contact discontinuities; treatment of boundary conditions; time and pseudo-time integration schemes. Prerequisites: basic knowledge of linear algebra and ODEs (CME 206 or equivalent)."
103156,Engineering Design Optimization,"AA 222, CS 361",4,"Design of engineering systems within a formal optimization framework. This course covers the mathematical and algorithmic fundamentals of optimization, including derivative and derivative-free approaches for both linear and non-linear problems, with an emphasis on multidisciplinary design optimization. Topics will also include quantitative methodologies for addressing various challenges, such as accommodating multiple objectives, automating differentiation, handling uncertainty in evaluations, selecting design points for experimentation, and principled methods for optimization when evaluations are expensive. Applications range from the design of aircraft to automated vehicles. Prerequisites: some familiarity with probability, programming, and multivariable calculus."
103173,Spacecraft Design,AA 236A,3,"This course focuses on the design and implementation of spacecraft deployable structure systems. Students are introduced to the requirements driving the design of large spacecraft structures, various design approaches to realize deployable structures, and modeling and analysis tools for the design of deployable structures. Students will design a concept for a deployable spacecraft structure that meets functional, mechanical, and environmental requirements. AA 151 Lightweight Structures (or similar) is a strongly recommended pre-requisite."
103174,Spacecraft Design Laboratory,AA 236B,4,"Continuation of AA 236A. This course focuses on the design and implementation of spacecraft deployable structure systems. Students will work in teams to propose a solution for a large deployable structure for small satellites. Students will demonstrate that their design meets functional, mechanical, and environmental requirements using analysis, prototyping, and testing. Prerequisite: AA 236A or consent of instructor."
103181,Analysis of Structures,AA 240,3,"Analyses of solid and thin walled section beams, trusses, frames, rings, monocoque and semimonocoque structures. Determination of stresses, strains, and deformations, and failure in structures; structural stability and buckling; material behavior: plasticity and fracture. Emphasis on energy methods and introduction of finite element methods. Prerequisite: ENGR 14 or equivalent."
103204,Techniques of Failure Analysis,AA 252,3,"Introduction to the field of failure analysis, including fire and explosion analysis, large scale catastrophe projects, traffic accident reconstruction, aircraft accident investigation, human factors, biomechanics and accidents, design defect cases, materials failures and metallurgical procedures, and structural failures. Product liability, failure modes and effects analysis, failure prevention, engineering ethics, and the engineer as expert witness."
103206,Mechanics of Composites,AA 256,3,"Fiber reinforced composite structures. Stress, strains and deformations in composite laminated plates and shells. In-plane and out-of-plane coupling effects.  Manufacturing processes and residual stresses.  Bending and torsional rigidities of composite tubes, beams, and columns.  Failure modes and failure criteria in composites and hole-size effects on composite structures.  Class involves also fabrication and testing of composite I-beams.  Prerequisite: AA 156 or ME 80 or equivalent."
103208,Structural Health Monitoring,AA 257,3,"Structural health monitoring (SHM) is an emerging technology that provides high-resolution real-time state-sensing, awareness, and self-diagnostic capabilities of structures in service enabled by different types of sensors. SHM is a technology that is designed to interface with the industrial internet of things (IIoT) environment (a) to extend the duration of the service life; (b) to increase the reliability; (c) to reduce the maintenance cost and operational cost. The course will provide in-depth knowledge of two basic damage detection methods for SHM, (a) active sensing and (b) passive sensing. This course will also discuss different kinds of smart materials and sensors, including piezoelectric materials as sensing and actuating elements to interrogate the structures. Advanced signal processing techniques and different types of diagnostics techniques will be discussed and applied to various damage scenarios for qualitative and quantitative measurements. The class will involve structural dynamics, wave propagation, signal processing, finite element methods, and study test cases.  Prerequisite: 240 or consent of instructor."
103217,Global Positioning Systems,AA 272,3,"The principles of satellite navigation using Global Positioning Systems (GPS). Positioning techniques using code tracking, single and dual frequency, carrier aiding, and use of differential and assisted GPS/GNSS for improved accuracy and integrity. Students will learn the building blocks to go from raw received satellite time in nanoseconds all the way to a sophisticated position solution. Using provided Android smartphones, students will collect data and implement an open-ended course project where the goal is to get creative and solve an interesting problem using the tools developed in this course. Prerequisites: familiarity with matrix algebra and MatLab (or another mathematical programming language)."
103231,Space Mechanics,AA 279A,3,Orbits of near-earth satellites and interplanetary probes; relative motion in orbit;  transfer and rendezvous; orbit determination; influence of earth&#039;s oblateness; sun and moon effects on earth satellites; decay of satellite orbits; invited lectures from industry. Prerequisite: ENGR 15 and familiarity with MatLab.
103388,Advanced Biochemical Engineering,BIOE 355,3,"Combines biological knowledge and methods with quantitative engineering principles. Quantitative review of biochemistry and metabolism; recombinant DNA technology and synthetic biology (metabolic engineering). The production of protein pharaceuticals as a paradigm for the application of chemical engineering principles to advanced process development within the framework of current business and regulatory requirements. Prerequisite: CHEMENG 181 (formerly 188) or BIOSCI 41, or equivalent."
103398,Advances in Biotechnology,BIOE 450,3,"This course provides an overview of cutting-edge advances in biotechnology with a focus on therapeutic, health-related and agricultural topics. We will hear from academic and industrial speakers from a range of areas including novel anti-infectives, AI tools, quantitative microfluidics biotechnology research, new therapies for the treatment of addiction, neurodegenerative diseases like Alzheimer&iquest;s disease, plant bioengineering, immuno-oncology, science journalism, and venture capital investing in biotechnology. This course is designed for students interested in pursuing a career in the biotech industry."
103438,Weather and Storms,CEE 63,3,"Daily and severe weather and global climate. Topics: structure and composition of the atmosphere, fog and cloud formation, rainfall, local winds, wind energy, global circulation, jet streams, high and low pressure systems, inversions, el Ni&iquest;o, la Ni&iquest;a, atmosphere/ocean interactions, fronts, cyclones, thunderstorms, lightning, tornadoes, hurricanes, pollutant transport, global climate and atmospheric optics."
103441,Environmental Science and Technology,CEE 70,3,"Introduction to environmental quality and the technical background necessary for understanding environmental issues, controlling environmental degradation, and preserving air and water quality. Material balance concepts for tracking substances in the environmental and engineering systems."
